emp,wage,unem,cpi,minwage
270.6,0.86,,21.5,0.4
272.4,0.86,,21.5,0.4
268.6,0.86,,21.9,0.4
262.6,0.86,,21.9,0.4
258,0.87,,21.9,0.4
255.8,0.87,,22,0.4
246.8,0.87,,22.2,0.4
259.9,0.86,,22.5,0.4
264.4,0.88,,23,0.4
268.5,0.89,,23,0.4
270.3,0.89,,23.1,0.4
270.9,0.92,,23.4,0.4
268.4,0.91,3,23.7,0.4
272.6,0.91,3.4,23.5,0.4
274.3,0.91,3.1,23.4,0.4
272.1,0.91,3.1,23.8,0.4
270.7,0.92,2.4,23.9,0.4
269.6,0.91,2,24.1,0.4
254.8,0.92,2.4,24.4,0.4
264.5,0.91,2.5,24.5,0.4
266.7,0.93,2.4,24.5,0.4
267.1,0.92,1.9,24.4,0.4
264.6,0.93,2.4,24.2,0.4
254.8,0.93,2.6,24.1,0.4
244.1,0.94,4.1,24,0.4
260.6,0.92,4.7,23.8,0.4
262.4,0.93,4.7,23.8,0.4
261.5,0.92,4.4,23.9,0.4
260.5,0.92,4.4,23.8,0.4
257.4,0.92,4.3,23.9,0.4
243.2,0.92,5,23.7,0.4
257.7,0.9,4.7,23.8,0.4
269.8,0.92,4.4,23.9,0.4
276.5,0.92,5.3,23.7,0.4
276.1,0.92,4.5,23.8,0.4
271.5,0.92,5,23.6,0.4
265.7,0.93,6.1,23.5,0.4
268.6,0.98,6.3,23.5,0.75
270.6,0.98,5.9,23.6,0.75
267.5,0.99,5.2,23.6,0.75
265.1,0.98,4.1,23.7,0.75
264.5,0.98,3.4,23.8,0.75
258.8,0.98,3.8,24.1,0.75
280.9,0.99,3,24.3,0.75
283.1,0.99,2.7,24.4,0.75
284.5,1,2.3,24.6,0.75
283,1.02,2.4,24.7,0.75
281,1.04,2.9,25,0.75
281.7,1.06,3.2,25.4,0.75
290.2,1.06,2.9,25.7,0.75
294.2,1.07,2.5,25.8,0.75
292.3,1.06,2,25.8,0.75
283.1,1.05,1.8,25.9,0.75
275.1,1.05,1.8,25.9,0.75
262.7,1.06,2.1,25.9,0.75
267.6,1.06,2.1,25.9,0.75
269.7,1.07,2,26.1,0.75
268.7,1.07,1.8,26.2,0.75
263.5,1.08,2.1,26.4,0.75
266.6,1.08,2.1,26.5,0.75
260.6,1.08,2.8,26.5,0.75
266.6,1.08,2.9,26.3,0.75
271.6,1.09,2.6,26.3,0.75
272.9,1.08,2.2,26.4,0.75
272,1.08,1.8,26.4,0.75
274.8,1.07,2,26.5,0.75
274.1,1.07,2.3,26.7,0.75
286.1,1.08,2.2,26.7,0.75
290.9,1.09,1.7,26.7,0.75
294.2,1.09,1.4,26.7,0.75
295.9,1.09,1.7,26.7,0.75
296.5,1.08,1.7,26.7,0.75
295.2,1.09,3,26.6,0.75
301,1.09,2.4,26.5,0.75
305.4,1.09,2.1,26.6,0.75
305.9,1.1,2.2,26.6,0.75
305.9,1.1,2.1,26.7,0.75
306.3,1.11,1.7,26.8,0.75
294.9,1.11,1.8,26.8,0.75
309.2,1.12,1.6,26.9,0.75
308.2,1.13,1.7,26.9,0.75
307.6,1.14,1.8,27,0.75
302.3,1.14,2.3,26.9,0.75
293.4,1.14,3.1,26.9,0.75
285.9,1.15,4.5,26.9,0.75
288.3,1.15,5.2,26.9,0.75
293.1,1.14,5.3,26.9,0.75
285.5,1.13,5.1,26.8,0.75
278.8,1.13,4.7,26.9,0.75
279.1,1.13,4.2,26.9,0.75
264.6,1.12,4.3,26.9,0.75
286,1.13,4.2,26.9,0.75
290.5,1.14,4.2,26.8,0.75
292.5,1.13,3.8,26.8,0.75
292.7,1.14,3.6,26.8,0.75
287.8,1.13,3.8,26.7,0.75
287.4,1.13,4.6,26.7,0.75
295.1,1.13,4.9,26.7,0.75
299,1.14,4.6,26.7,0.75
295.4,1.13,4.4,26.7,0.75
296,1.13,3,26.7,0.75
298,1.12,2.5,26.7,0.75
288.7,1.11,2.5,26.8,0.75
302.1,1.12,2.3,26.8,0.75
304.1,1.13,2.1,26.9,0.75
304.4,1.14,2.1,26.9,0.75
304.5,1.14,2.5,26.9,0.75
301.8,1.14,2.9,26.8,0.75
300.5,1.15,3.7,26.8,0.75
305.7,1.15,3.9,26.8,0.75
302.8,1.24,3.9,26.8,1
301.2,1.25,2.9,26.9,1
298.5,1.24,2.8,27,1
297.3,1.24,2.7,27.2,1
289.2,1.25,2.7,27.4,1
301.3,1.25,2.5,27.3,1
299.4,1.26,2.4,27.4,1
299.9,1.27,2.1,27.5,1
293.8,1.28,2.6,27.5,1
288.4,1.28,3.1,27.6,1
286.3,1.28,3.8,27.6,1
291.7,1.27,3.7,27.7,1
292.7,1.28,3.3,27.8,1
289.7,1.28,3.1,27.9,1
286.9,1.27,2.6,28,1
290.8,1.26,2.6,28.1,1
285.4,1.27,2.7,28.3,1
293,1.27,2.5,28.3,1
295.6,1.28,2.7,28.3,1
292.9,1.28,2.8,28.3,1
288.4,1.28,3.5,28.4,1
283.6,1.28,4.3,28.4,1
278.2,1.29,5.9,28.6,1
280.6,1.29,6.9,28.6,1
279.2,1.29,7.1,28.8,1
271.6,1.29,6.6,28.9,1
273.2,1.28,6,28.9,1
277.7,1.29,5.8,28.9,1
273.8,1.29,5.8,29,1
280.1,1.29,5.5,28.9,1
281.8,1.3,4.6,28.9,1
281.6,1.3,4.2,28.9,1
279.6,1.3,4.3,29,1
279.6,1.3,5.1,28.9,1
278.4,1.3,6,29,1
283.5,1.29,6.2,28.9,1
287.1,1.3,5.3,28.9,1
288.1,1.3,3.9,29,1
292.5,1.29,3.5,29,1
298.4,1.29,3.3,29.1,1
296.4,1.29,3.4,29.2,1
306.5,1.29,3.5,29.2,1
309.1,1.32,3.5,29.3,1
309,1.32,3.3,29.4,1
309.4,1.32,4.2,29.4,1
305.3,1.32,4,29.4,1
301.8,1.33,5,29.3,1
304.1,1.33,4.6,29.4,1
305.9,1.34,5,29.4,1
304.7,1.32,4.1,29.5,1
307.8,1.32,3.6,29.5,1
310.6,1.33,3.5,29.6,1
301.4,1.33,3.8,29.6,1
311.6,1.34,3.9,29.6,1
309,1.34,3.6,29.6,1
302.5,1.35,3.8,29.8,1
295.8,1.34,4.3,29.8,1
289.8,1.33,5.5,29.8,1
283.8,1.35,6.8,29.8,1
290.3,1.34,7.2,29.8,1
290.2,1.35,6.6,29.8,1
289.9,1.34,5.5,29.8,1
292.5,1.34,5.2,29.8,1
297.6,1.34,4.6,29.8,1
293,1.33,4.6,30,1
304.9,1.34,4.4,29.9,1
302.5,1.4,3.9,30,1.15
302.2,1.42,3.7,30,1.15
303.8,1.42,3.9,30,1.15
304.3,1.42,4.5,30,1.15
301.2,1.42,5.3,30,1.15
307.9,1.42,5.3,30.1,1.15
311.2,1.42,5.1,30.1,1.15
313.4,1.41,4.4,30.2,1.15
317.1,1.41,3.5,30.2,1.15
323.1,1.42,3.6,30.2,1.15
316.3,1.41,3.6,30.3,1.15
327.1,1.42,3.6,30.3,1.15
327,1.43,3.3,30.4,1.15
325.5,1.43,2.9,30.4,1.15
324.8,1.43,3.4,30.4,1.15
321.5,1.42,4.2,30.4,1.15
316.9,1.44,5.5,30.4,1.15
319.7,1.43,5.7,30.4,1.15
320.6,1.44,5,30.5,1.15
323.4,1.43,4.1,30.5,1.15
326.3,1.42,3.5,30.5,1.15
329.5,1.43,3.1,30.6,1.15
325.2,1.44,3.2,30.7,1.15
334.5,1.44,3.2,30.7,1.15
329.6,1.5,2.7,30.7,1.25
327,1.51,2.8,30.8,1.25
322.9,1.5,3.5,30.8,1.25
319.3,1.51,3.9,30.9,1.25
315.1,1.5,4.7,30.9,1.25
319.5,1.51,4.5,30.9,1.25
320.9,1.52,4.2,30.9,1.25
322.4,1.51,3.4,30.9,1.25
324.8,1.51,2.7,30.9,1.25
330.8,1.51,2.8,31,1.25
325.7,1.51,2.7,31.1,1.25
334.5,1.52,2.6,31,1.25
333.7,1.54,2.4,31.1,1.25
332.8,1.53,2.4,31.1,1.25
334.6,1.54,2.6,31.2,1.25
334.2,1.54,3.3,31.2,1.25
334.5,1.54,4,31.2,1.25
338.5,1.54,4.2,31.2,1.25
342.6,1.54,3.5,31.3,1.25
346.8,1.53,2.9,31.4,1.25
350.3,1.53,2.5,31.4,1.25
355.7,1.54,2.1,31.6,1.25
349.1,1.52,2.3,31.6,1.25
360.3,1.53,2.3,31.6,1.25
360.5,1.55,2,31.6,1.25
361.6,1.56,1.8,31.7,1.25
362,1.57,2,31.7,1.25
360.7,1.57,2.4,31.8,1.25
360.3,1.58,3.1,31.8,1.25
364.6,1.59,3,32,1.25
368.8,1.58,2.6,32.1,1.25
369.9,1.58,2.1,32.3,1.25
373.4,1.58,1.6,32.3,1.25
378.6,1.59,1.8,32.4,1.25
365.8,1.57,2,32.5,1.25
379.1,1.59,1.9,32.7,1.25
376.4,1.6,1.6,32.7,1.25
375.3,1.6,1.6,32.9,1.25
374,1.63,1.8,32.9,1.25
372,1.64,2.1,32.9,1.25
371.4,1.67,2.5,32.9,1.25
370.2,1.73,2.7,32.9,1.4
369.7,1.73,2.5,33,1.4
368.3,1.73,2,33.1,1.4
367.5,1.72,1.7,33.2,1.4
371,1.73,1.8,33.3,1.4
357.7,1.73,1.8,33.4,1.4
370.3,1.73,1.7,33.5,1.4
365.9,1.75,1.5,33.6,1.4
365.1,1.75,1.6,33.7,1.4
363.3,1.78,1.6,33.8,1.4
361.5,1.79,1.8,33.9,1.4
355.5,1.81,2.4,34.1,1.4
360.2,1.93,2.5,34.2,1.6
361.4,1.93,2.2,34.3,1.6
362.1,1.92,1.8,34.4,1.6
365.5,1.92,1.4,34.5,1.6
371,1.92,1.5,34.7,1.6
359.5,1.91,1.6,34.9,1.6
371.9,1.93,1.5,35,1.6
369.1,1.95,1.4,35.1,1.6
366.5,1.95,1.4,35.3,1.6
364.8,1.96,1.4,35.4,1.6
364.8,1.96,1.5,35.5,1.6
361.1,1.98,2,35.6,1.6
364.4,1.97,2,35.8,1.6
366.5,1.98,1.8,36.1,1.6
368.1,1.98,1.6,36.3,1.6
367.3,1.97,1.4,36.4,1.6
373.2,1.98,1.4,36.6,1.6
363.3,1.97,1.6,36.8,1.6
372.1,1.99,1.5,37,1.6
368.5,2.03,1.5,37.1,1.6
368.7,2.05,1.4,37.3,1.6
370.5,2.06,1.5,37.5,1.6
370.3,2.07,1.7,37.7,1.6
367.6,2.07,2.6,37.8,1.6
370.3,2.07,2.9,38,1.6
373.5,2.08,2.8,38.2,1.6
374.3,2.08,2.6,38.5,1.6
376.8,2.07,2.4,38.6,1.6
382.9,2.08,2.6,38.8,1.6
374.1,2.08,2.8,39,1.6
382,2.09,2.8,39,1.6
378.3,2.13,2.4,39.2,1.6
374.4,2.13,2.6,39.4,1.6
373.2,2.14,3,39.6,1.6
371.3,2.15,3.6,39.8,1.6
368.6,2.17,4.4,39.8,1.6
368.7,2.17,4.4,39.9,1.6
372.6,2.17,4.2,40,1.6
374.7,2.17,3.5,40.1,1.6
377.4,2.17,3.1,40.3,1.6
384.1,2.17,3.1,40.6,1.6
374.9,2.18,3.4,40.7,1.6
385.4,2.17,3.3,40.8,1.6
385.1,2.2,3.1,40.8,1.6
386.8,2.18,3,40.9,1.6
388.4,2.19,3.2,40.9,1.6
386.9,2.23,3.6,41.1,1.6
385.2,2.25,4.2,41.1,1.6
387.9,2.26,4.1,41.3,1.6
391.3,2.27,3.7,41.4,1.6
393.1,2.26,3.2,41.5,1.6
394.3,2.25,3,41.6,1.6
400.9,2.25,2.9,41.7,1.6
387,2.24,2.9,41.9,1.6
400.7,2.26,2.8,42,1.6
397.8,2.29,2.5,42.1,1.6
399.3,2.31,2.5,42.3,1.6
401.7,2.34,2.4,42.4,1.6
401,2.35,2.6,42.5,1.6
398.9,2.39,3.4,42.6,1.6
404.4,2.39,3.6,42.9,1.6
406.6,2.39,3.4,43.3,1.6
409.1,2.4,2.8,43.6,1.6
410.3,2.4,2.5,43.9,1.6
416,2.4,2.2,44.2,1.6
398.6,2.4,2.2,44.3,1.6
411.1,2.42,2.2,45.1,1.6
410,2.48,1.9,45.2,1.6
409.8,2.5,1.9,45.6,1.6
409.6,2.54,2,45.9,1.6
406.9,2.54,2.5,46.2,1.6
400.4,2.57,3.3,46.6,1.6
402.1,2.57,3.5,47.2,1.6
398.8,2.57,3.3,47.8,1.6
396.3,2.59,3.1,48,1.6
399,2.68,2.5,48.6,2
402.1,2.69,2.5,49,2
381,2.7,2.6,49.4,2
397.8,2.72,2.6,50,2
394.1,2.75,2.6,50.6,2
392.3,2.76,3,51.1,2
385.2,2.77,3.4,51.5,2
372.9,2.79,4.4,51.9,2
357.4,2.85,6.4,52.1,2.1
349.9,2.84,6.6,52.5,2.1
337.9,2.84,6.7,52.7,2.1
339.7,2.84,6.1,52.9,2.1
347.9,2.83,5.8,53.2,2.1
356.6,2.84,5.6,53.6,2.1
346.6,2.84,5.5,54.2,2.1
364.2,2.83,5.1,54.3,2.1
367.5,2.87,4.9,54.6,2.1
374.5,2.89,5,54.9,2.1
378.3,2.91,5.1,55.3,2.1
378.1,2.93,5.4,55.5,2.1
377.9,3.04,6.2,55.6,2.3
381.2,3.05,6.1,55.8,2.3
383.5,3.06,5.5,55.9,2.3
385.1,3.08,4.9,56.1,2.3
387.3,3.06,4.3,56.5,2.3
392.4,3.05,4.6,56.8,2.3
372.1,3.04,4.8,57.1,2.3
383.9,3.06,4.5,57.4,2.3
379.2,3.11,4.3,57.6,2.3
377.4,3.13,4.3,57.9,2.3
372.9,3.16,4.7,58,2.3
368,3.18,5.2,58.2,2.3
364.5,3.22,5.9,58.5,2.3
368.1,3.22,6,59.1,2.3
369.8,3.23,5.4,59.5,2.3
371.3,3.22,4.6,60,2.3
375.6,3.21,4.1,60.3,2.3
381.6,3.22,4,60.7,2.3
360.9,3.23,4,61,2.3
381.4,3.25,3.8,61.2,2.3
381.7,3.31,3.2,61.4,2.3
380.7,3.32,3.7,61.6,2.3
379.6,3.35,3.6,61.9,2.3
376,3.39,3.8,62.1,2.3
369.6,3.55,4.5,62.5,2.65
374.9,3.57,4.4,62.9,2.65
373.3,3.57,4.2,63.4,2.65
375.3,3.57,3.5,63.9,2.65
375.9,3.56,3.3,64.5,2.65
378.5,3.56,3,65.2,2.65
351.8,3.54,3.1,65.7,2.65
369.1,3.55,3.2,66,2.65
369.5,3.6,2.8,66.5,2.65
365.9,3.6,3,67.1,2.65
366.5,3.65,3.1,67.4,2.65
361.7,3.67,3.5,67.7,2.65
357.7,3.84,4.1,68.3,2.9
362.7,3.83,4.1,69.1,2.9
363.8,3.85,3.9,69.8,2.9
363.6,3.85,3.5,70.6,2.9
366.7,3.84,2.9,71.5,2.9
368.4,3.86,2.9,72.3,2.9
353.9,3.88,3.1,73.1,2.9
365.9,3.87,3.3,73.8,2.9
362.7,3.94,2.9,74.6,2.9
364.1,3.95,3.2,75.2,2.9
363.3,4,3.6,75.9,2.9
361.5,4.06,3.6,76.7,2.9
360.6,4.17,4.7,77.8,3.1
364.5,4.18,4.7,78.9,3.1
366.7,4.18,4.9,80.1,3.1
367.9,4.18,5.2,81,3.1
368.6,4.19,5.2,81.8,3.1
370.8,4.2,5.2,82.7,3.1
348.5,4.18,5.7,82.7,3.1
367.1,4.2,5.4,83.3,3.1
361.5,4.28,5,84,3.1
357.5,4.3,4.8,84.8,3.1
356.3,4.34,5.1,85.5,3.1
351.2,4.41,5.2,86.3,3.1
343.9,4.55,6.2,87,3.35
343.4,4.53,6.2,87.9,3.35
343.7,4.57,5.8,88.5,3.35
348.9,4.56,5.1,89.1,3.35
351.3,4.55,4.9,89.8,3.35
356.2,4.53,5,90.6,3.35
345.7,4.5,4.9,91.6,3.35
353.7,4.53,4.9,92.3,3.35
353.1,4.59,4.7,93.2,3.35
349.7,4.62,5.2,93.4,3.35
347.6,4.65,5.9,93.7,3.35
341.9,4.66,6.9,94,3.35
328.3,4.81,7.9,94.3,3.35
332,4.76,7.9,94.6,3.35
327.4,4.75,7.9,94.5,3.35
324,4.79,7.5,94.9,3.35
326.4,4.77,7.3,95.8,3.35
329.3,4.78,7.6,97,3.35
311.8,4.75,7.8,97.5,3.35
319.4,4.76,7.6,97.7,3.35
320.4,4.79,7.8,97.9,3.35
318.5,4.77,8.1,98.2,3.35
316.9,4.82,8.8,98,3.35
313.3,4.83,9.5,97.6,3.35
311,4.94,10.2,97.8,3.35
312.5,4.91,10.4,97.9,3.35
312,4.93,10,97.9,3.35
316.6,4.93,9.2,98.6,3.35
322.1,4.9,8.5,99.2,3.35
327.2,4.9,8,99.5,3.35
313.9,4.91,7.6,99.9,3.35
329.2,4.92,7.3,100.2,3.35
332.9,4.94,7.1,100.7,3.35
335.4,4.93,6.7,101,3.35
335.3,4.97,6.8,101.2,3.35
332.3,4.99,7,101.3,3.35
330.9,5.08,7.6,101.9,3.35
334,5.05,7.4,102.4,3.35
339.3,5.09,6.8,102.6,3.35
340.9,5.09,6.4,103.1,3.35
341.7,5.07,5.7,103.4,3.35
343,5.06,5.4,103.7,3.35
322.4,5.04,5.5,104.1,3.35
336.4,5.05,5.2,104.5,3.35
331.1,5.1,5,105,3.35
325.1,5.09,5,105.3,3.35
322.2,5.12,5.3,105.3,3.35
318.6,5.15,5.8,105.3,3.35
316,5.26,6.7,105.5,3.35
314.3,5.25,6.5,106,3.35
311.5,5.28,6.2,106.4,3.35
312.9,5.29,6.1,106.9,3.35
311.3,5.26,5,107.3,3.35
314.3,5.26,5.4,107.6,3.35
302.7,5.25,5.3,107.8,3.35
312,5.23,5,108,3.35
311.9,5.27,5,108.3,3.35
312.2,5.28,4.9,108.7,3.35
312.6,5.31,5.2,109,3.35
312.2,5.34,5.6,109.3,3.35
310.5,5.38,6.2,109.6,3.35
309.7,5.38,6.6,109.3,3.35
307.1,5.38,6.3,108.8,3.35
310.8,5.4,5.7,108.6,3.35
311,5.36,5.5,108.9,3.35
310.1,5.37,5.5,109.5,3.35
298.3,5.36,5.5,109.5,3.35
303.6,5.37,5,109.7,3.35
302.8,5.4,5,110.2,3.35
301,5.39,5.2,110.3,3.35
300.2,5.39,5.5,110.4,3.35
301.1,5.42,5.5,110.5,3.35
298.7,5.47,6.6,111.2,3.35
298.4,5.43,6.3,111.6,3.35
298.9,5.44,6,112.1,3.35
302.1,5.48,5.2,112.7,3.35
303.2,5.44,4.8,113.1,3.35
305.8,5.46,4.8,113.5,3.35
302.3,5.43,4.7,113.8,3.35
305,5.44,4.4,114.4,3.35
306.3,5.52,4.1,115,3.35
307.6,5.48,4.3,115.3,3.35
308,5.49,4.4,115.4,3.35
306.4,5.53,4.7,115.4,3.35
303.4,5.55,5.3,115.7,3.35
304.1,5.53,5.3,116,3.35
303.4,5.54,5.1,116.5,3.35
302.3,5.52,4.3,117.1,3.35
300.2,5.52,4.2,117.5,3.35
300.7,5.52,4,118,3.35
289.9,5.53,3.9,118.5,3.35
294.1,5.54,4.1,119,3.35
292.8,5.62,3.7,119.8,3.35
289.5,5.58,3.8,120.2,3.35
288.8,5.65,4.3,120.3,3.35
287,5.66,4.3,120.5,3.35
285.1,5.74,5,121.1,3.35
285.7,5.72,4.9,121.6,3.35
285.5,5.75,4.6,122.3,3.35
286,5.73,4.4,123.1,3.35
286.8,5.75,3.7,123.8,3.35
289.2,5.75,3.5,124.1,3.35
282.3,5.74,3.7,124.4,3.35
289,5.77,3.5,124.6,3.35
288.9,5.82,3.6,125,3.35
289.3,5.81,3.6,125.6,3.35
289.2,5.84,4,125.9,3.35
287.4,5.85,4.1,126.1,3.35
285,5.95,5.2,127.4,3.35
282.7,5.95,5,128,3.35
277.7,5.98,4.7,128.7,3.35
282,6.1,4.5,128.9,3.8
278.9,6.07,4.1,129.2,3.8
280.3,6.05,4,129.9,3.8
265.7,6.03,4.3,130.4,3.8
269.6,6.08,4.3,131.6,3.8
270.5,6.13,4.2,132.7,3.8
267.9,6.11,4.2,133.5,3.8
265.8,6.13,5,133.8,3.8
264.5,6.11,5.6,133.8,3.8
262.7,6.2,6.4,134.6,3.8
263.9,6.13,6.9,134.8,3.8
264.6,6.16,6.8,135,3.8
264,6.25,6.1,135.2,4.25
267,6.27,5.7,135.6,4.25
270.8,6.31,5.5,136,4.25
263.5,6.3,5.5,136.2,4.25
271.3,6.32,5.4,136.6,4.25
273.2,6.36,5.3,137.2,4.25
274,6.35,5.3,137.4,4.25
275.3,6.35,5.8,137.8,4.25
276.1,6.41,6.3,137.9,4.25
275.4,6.45,7.8,138.1,4.25
275.5,6.44,8,138.6,4.25
275.6,6.45,7.5,139.3,4.25
277.7,6.54,6.8,139.5,4.25
279.1,6.51,6.5,139.7,4.25
282.1,6.52,6.4,140.2,4.25
276.9,6.49,6.2,140.5,4.25
279.9,6.5,6.2,140.9,4.25
277.6,6.56,5.9,141.3,4.25
278.7,6.55,6,141.8,4.25
279.6,6.58,6.2,142,4.25
277.3,6.65,6.4,141.9,4.25
275.6,6.72,7.4,142.6,4.25
276,6.67,7.4,143.1,4.25
275.7,6.67,7.2,143.6,4.25
274,6.67,6.3,144,4.25
276.9,6.68,5.7,144.2,4.25
278.1,6.68,5.8,144.4,4.25
269.3,6.67,5.7,144.4,4.25
275.8,6.67,5.4,144.8,4.25
274.4,6.74,5.1,145.1,4.25
272.9,6.72,5.2,145.7,4.25
273.1,6.72,5.1,145.8,4.25
269.9,6.8,5.5,145.8,4.25
265.6,6.81,6.5,146.2,4.25
267,6.85,6.6,146.7,4.25
266.5,6.87,6,147.2,4.25
266.4,6.92,5.2,147.4,4.25
266.7,6.91,4.4,147.5,4.25
268.9,6.94,4.5,148,4.25
261.2,6.98,4.7,148.4,4.25
265.9,6.98,4.4,149,4.25
266.2,7.03,4.1,149.4,4.25
265.9,7.03,4.1,149.5,4.25
265.8,7.05,4.1,149.7,4.25
266.1,7.09,4.3,149.7,4.25
262.1,7.19,5.4,150.3,4.25
260.8,7.12,5,150.9,4.25
261,7.16,4.8,151.4,4.25
259.5,7.26,4.6,151.9,4.25
257.6,7.18,4.3,152.2,4.25
256.9,7.18,4,152.5,4.25
245.8,7.19,4.1,152.5,4.25
250.8,7.17,3.9,152.9,4.25
249.1,7.19,3.8,153.2,4.25
239.8,7.2,3.7,153.7,4.25
238.5,7.23,4.2,153.6,4.25
236.9,7.27,4.5,153.5,4.25
233.7,7.29,5.3,154.4,4.25
231.7,7.27,5.1,154.9,4.25
227.2,7.33,5.1,155.7,4.25
227.7,7.39,4.6,156.3,4.25
227.1,7.33,4,156.6,4.25
227.7,7.38,3.8,156.7,4.25
217.1,7.42,3.8,157,4.25
220.9,7.39,3.5,157.3,4.25
221.3,7.41,3.7,157.8,4.25
221.3,7.51,3.5,158.3,4.75
219.8,7.5,3.8,158.6,4.75
218.2,7.61,3.9,158.6,4.75
215.4,7.65,4.9,159.1,4.75
214.9,7.61,4.7,159.6,4.75
214.3,7.69,4.5,160,4.75
214.7,7.67,4,160.2,4.75
214.6,7.68,3.3,160.1,4.75
215.5,7.68,3.5,160.3,4.75
206.5,7.7,3.4,160.5,4.75
210.1,7.73,3.2,160.8,4.75
206.4,7.83,3.2,161.2,5.15
206.5,7.78,3.1,161.6,5.15
204.2,7.85,3,161.5,5.15
203.2,7.84,3.6,161.3,5.15
